id,species,scientific,group,raritycode,pelagic,shorebird,passerine,waterfowl,perennial,vagrant,migrant,breeder,winter,X1.1,X1.2,X1.3,X1.4,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,X4.1,X4.2,X4.3,X4.4,X5.1,X5.2,X5.3,X5.4,X6.1,X6.2,X6.3,X6.4,X7.1,X7.2,X7.3,X7.4,X8.1,X8.2,X8.3,X8.4,X9.1,X9.2,X9.3,X9.4,X10.1,X10.2,X10.3,X10.4,X11.1,X11.2,X11.3,X11.4,X12.1,X12.2,X12.3,X12.4,presence
1,Acadian Flycatcher,Empidonax virescens,Tyrants,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013403141,0.061345018,0.085929648,0.107338195,0.106251431,0.119428571,0.125882353,0.102532427,0.069444444,0.053251121,0.06969876,0.053981828,0.031295488,0.019145147,0.018448637,0.02067274,0.019432773,0.02012987,0.014578164,0.008595139,0.001014971,0.000407311,0,0,0,0,0,0,0,0,0,0,0,0.023379316
2,Alder Flycatcher,Empidonax alnorum,Tyrants,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000837521,0.000575889,0.002289902,0.004571429,0.000588235,0.000617665,0,0,0,0,0,0,0.002515723,0.004905396,0.007352941,0.012987013,0.009925558,0.010966212,0.004313626,0.000326371,0,0,0,0,0.000369851,0.001076813,0,0,0,0,0,0.00133792
3,American Avocet,Recurvirostra americana,Stilts/Avocets,1,0,1,0,0,0,0,1,1,0,0.002796421,0.001774623,0.000755097,0.001076716,0,0.001646362,0.002908104,0.002167854,0.00254696,0.009268137,0.008923431,0.012972235,0.019731198,0.017058824,0.015192621,0.011727749,0.010859211,0.010887772,0.010483136,0.01488436,0.012571429,0.005882353,0.008029648,0.011715712,0.010650224,0.033668045,0.055585249,0.066957787,0.051647373,0.067924528,0.064120533,0.038077731,0.026948052,0.022022333,0.02015412,0.020045674,0.018276762,0.010503553,0.019410496,0.015663459,0.018932874,0.023816567,0.022972003,0.019770774,0.018330733,0.009111617,0.004140787,0.002750401,0.017861284
4,American Bittern,Botaurus lentiginosus,Herons/Egrets,1,0,0,0,0,0,0,1,0,0,0.004101417,0.002661934,0.005285678,0.00538358,0.018363402,0.004279881,0.001744862,0.002787241,0.003502069,0.007989773,0.004893495,0.003868912,0.00486131,0.003529412,0.002712968,0.002303665,0.002857687,0.002847571,0.002278943,0.00045798,0.001142857,0,0.00123533,0.000838976,0.001121076,0.001181335,0.002672368,0.002547307,0.003561888,0.001677149,0.001926594,0.002888655,0.005753896,0.009925558,0.011262596,0.01217965,0.019255875,0.018844609,0.014378145,0.02595659,0.018072289,0.01641791,0.016870065,0.012034384,0.007410296,0.007972665,0.008695652,0.005500802,0.006625756
5,American Black Duck,Anas rubripes,Ducks,1,0,0,0,1,1,0,0,1,1,0.205443699,0.205264715,0.2194815,0.196500673,0.204574742,0.178794863,0.154517255,0.20563642,0.204393505,0.184084372,0.187104203,0.159990897,0.155275951,0.117058824,0.102007596,0.088795812,0.081920366,0.077721943,0.088195077,0.082665445,0.051428571,0.056470588,0.043854231,0.056423611,0.03867713,0.070289427,0.053447354,0.0713246,0.067230632,0.088888889,0.085143658,0.073266807,0.062662338,0.075992556,0.087136929,0.109870591,0.132506527,0.147667593,0.155643422,0.194898188,0.201376936,0.208059701,0.226848528,0.229512894,0.209438378,0.23690205,0.202898551,0.180838872,0.135794321
6,American Coot,Fulica americana,Rails,1,0,0,0,0,0,0,1,0,1,0.076621924,0.068027211,0.066951925,0.060565276,0.062822165,0.045110306,0.060682435,0.064106535,0.091372174,0.085011186,0.09009787,0.089667729,0.08492994,0.079117647,0.056701031,0.041465969,0.024004572,0.01641541,0.012989973,0.005266774,0.001703429,0,0.000617665,0.000434028,0.001681614,0.00236267,0.001068947,0.002183406,0.000384016,0.000838574,0.000700771,0.001313025,0.001623377,0.000625155,0.001481921,0.003552398,0.02578329,0.070744517,0.095974119,0.138957261,0.138554217,0.113731343,0.123115578,0.109169054,0.104914197,0.099658314,0.079917184,0.072885629,0.049497995
7,American Crow,Corvus brachyrhynchos,Corvids,1,0,0,1,0,1,0,0,1,1,0.253728561,0.213842059,0.208658445,0.238492598,0.245167526,0.230819888,0.250872431,0.236296067,0.273161414,0.29753915,0.280944157,0.285844333,0.312553617,0.309705882,0.298697775,0.292356021,0.278338731,0.261641541,0.275524157,0.257155942,0.324,0.295294118,0.31562693,0.303819444,0.289237668,0.290608387,0.269374666,0.258369723,0.25111309,0.265408805,0.282761037,0.321691176,0.346103896,0.355769231,0.382631891,0.373763004,0.390339426,0.395736793,0.3713156,0.374132916,0.359724613,0.310447761,0.304379038,0.295702006,0.285101404,0.295558087,0.314285714,0.279165712,0.295891717
8,American Golden-Plover,Pluvialis dominica,Plovers/Lapwings,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000879678,0,0.000571919,0.007941176,0.002986571,0.004188482,0.003429225,0.002512563,0.003646308,0.003710442,0,0,0,0,0,0,0,0.000363901,0,0.000816771,0.008759636,0.02967437,0.03961039,0.03691067,0.01659751,0.012433393,0.01729765,0.005869632,0.006829619,0.003132692,0.003872633,0.004776119,0.000358938,0.000286533,0.000390016,0,0,0,0.004538476
9,American Goldfinch,Spinus tristis,Finches,1,0,0,1,0,1,0,0,1,1,0.172259508,0.131322094,0.118046816,0.159623149,0.138530928,0.152123806,0.187281892,0.104056984,0.126711238,0.102588686,0.107081174,0.124260355,0.167286245,0.233235294,0.269940315,0.316230366,0.316631739,0.258458961,0.2698268,0.240439661,0.312,0.294705882,0.290920321,0.292100694,0.313340807,0.353809805,0.375200428,0.383187773,0.384238646,0.37442348,0.387526279,0.371323529,0.346428571,0.300248139,0.27089508,0.257802588,0.264360313,0.268458449,0.254133717,0.283956142,0.351549053,0.294328358,0.29971285,0.273638968,0.222308892,0.244305239,0.240165631,0.176713271,0.253702478
10,American Kestrel,Falco sparverius,Falcons,1,0,0,0,0,0,0,1,1,1,0.044183445,0.042590949,0.052605084,0.049259758,0.045747423,0.040500494,0.028305545,0.039950449,0.036612544,0.034196229,0.047495682,0.059854347,0.092364884,0.078235294,0.064026044,0.052565445,0.018289198,0.013400335,0.006608933,0.007556675,0.009714286,0.014705882,0.013588635,0.009114583,0.00896861,0.013585351,0.015499733,0.016375546,0.020926091,0.025995807,0.022074282,0.037815126,0.130844156,0.170595533,0.172791938,0.222024867,0.24118799,0.202965709,0.192307692,0.171402998,0.129948365,0.068656716,0.059583632,0.052148997,0.048361934,0.045558087,0.04679089,0.059362824,0.064109271
